,ids,labels,parents,values
1301,Drizzle and Humid-Arson,,Chicago-Drizzle and Humid,0
1302,Drizzle and Humid-Sexual,,Chicago-Drizzle and Humid,0
1303,Drizzle and Humid-Interference,,Chicago-Drizzle and Humid,0
1304,Windy and Partly Cloudy-Property,Property,Chicago-Windy and Partly Cloudy,6
1305,Windy and Partly Cloudy-Fraud,Fraud,Chicago-Windy and Partly Cloudy,6
1306,Windy and Partly Cloudy-Violence,Violence,Chicago-Windy and Partly Cloudy,13
1307,Windy and Partly Cloudy-Burglary,Burglary,Chicago-Windy and Partly Cloudy,4
1308,Windy and Partly Cloudy-B&E,,Chicago-Windy and Partly Cloudy,0
1309,Windy and Partly Cloudy-Violation,Violation,Chicago-Windy and Partly Cloudy,1
1310,Windy and Partly Cloudy-Drugs,Drugs,Chicago-Windy and Partly Cloudy,3
1311,Windy and Partly Cloudy-Robbery,Robbery,Chicago-Windy and Partly Cloudy,1
1312,Windy and Partly Cloudy-Auto-Theft,Auto-Theft,Chicago-Windy and Partly Cloudy,1
1313,Windy and Partly Cloudy-Other,Other,Chicago-Windy and Partly Cloudy,5
1314,Windy and Partly Cloudy-Killing,Killing,Chicago-Windy and Partly Cloudy,1
1315,Windy and Partly Cloudy-Verbal,,Chicago-Windy and Partly Cloudy,0
1316,Windy and Partly Cloudy-Kidnapping,,Chicago-Windy and Partly Cloudy,0
1317,Windy and Partly Cloudy-Arson,Arson,Chicago-Windy and Partly Cloudy,1
1318,Windy and Partly Cloudy-Sexual,,Chicago-Windy and Partly Cloudy,0
1319,Windy and Partly Cloudy-Interference,,Chicago-Windy and Partly Cloudy,0
1320,Possible Light Snow-Property,Property,Chicago-Possible Light Snow,4
1321,Possible Light Snow-Fraud,Fraud,Chicago-Possible Light Snow,7
1322,Possible Light Snow-Violence,Violence,Chicago-Possible Light Snow,6
1323,Possible Light Snow-Burglary,Burglary,Chicago-Possible Light Snow,14
1324,Possible Light Snow-B&E,B&E,Chicago-Possible Light Snow,2
1325,Possible Light Snow-Violation,,Chicago-Possible Light Snow,0
1326,Possible Light Snow-Drugs,Drugs,Chicago-Possible Light Snow,7
1327,Possible Light Snow-Robbery,Robbery,Chicago-Possible Light Snow,2
1328,Possible Light Snow-Auto-Theft,Auto-Theft,Chicago-Possible Light Snow,2
1329,Possible Light Snow-Other,Other,Chicago-Possible Light Snow,4
1330,Possible Light Snow-Killing,,Chicago-Possible Light Snow,0
1331,Possible Light Snow-Verbal,Verbal,Chicago-Possible Light Snow,1
1332,Possible Light Snow-Kidnapping,,Chicago-Possible Light Snow,0
1333,Possible Light Snow-Arson,,Chicago-Possible Light Snow,0
1334,Possible Light Snow-Sexual,,Chicago-Possible Light Snow,0
1335,Possible Light Snow-Interference,,Chicago-Possible Light Snow,0
1336,Heavy Rain-Property,Property,Chicago-Heavy Rain,1
1337,Heavy Rain-Fraud,,Chicago-Heavy Rain,0
1338,Heavy Rain-Violence,Violence,Chicago-Heavy Rain,9
1339,Heavy Rain-Burglary,Burglary,Chicago-Heavy Rain,4
1340,Heavy Rain-B&E,B&E,Chicago-Heavy Rain,1
1341,Heavy Rain-Violation,Violation,Chicago-Heavy Rain,1
1342,Heavy Rain-Drugs,,Chicago-Heavy Rain,0
1343,Heavy Rain-Robbery,,Chicago-Heavy Rain,0
1344,Heavy Rain-Auto-Theft,,Chicago-Heavy Rain,0
1345,Heavy Rain-Other,,Chicago-Heavy Rain,0
1346,Heavy Rain-Killing,,Chicago-Heavy Rain,0
1347,Heavy Rain-Verbal,,Chicago-Heavy Rain,0
1348,Heavy Rain-Kidnapping,,Chicago-Heavy Rain,0
1349,Heavy Rain-Arson,,Chicago-Heavy Rain,0
1350,Heavy Rain-Sexual,,Chicago-Heavy Rain,0
1351,Heavy Rain-Interference,,Chicago-Heavy Rain,0
1352,Los Angeles-Partly Cloudy,Partly Cloudy,Weather-Los Angeles,173792
1353,Los Angeles-Clear,Clear,Weather-Los Angeles,624817
1354,Los Angeles-Overcast,Overcast,Weather-Los Angeles,139351
1355,Los Angeles-Mostly Cloudy,Mostly Cloudy,Weather-Los Angeles,125833
1356,Los Angeles-Possible Drizzle,Possible Drizzle,Weather-Los Angeles,10538
1357,Los Angeles-Drizzle,Drizzle,Weather-Los Angeles,2310
1358,Los Angeles-Rain,Rain,Weather-Los Angeles,2250
1359,Los Angeles-Light Rain,Light Rain,Weather-Los Angeles,8458
1360,Los Angeles-Possible Light Rain,Possible Light Rain,Weather-Los Angeles,1401
1361,Los Angeles-Foggy,Foggy,Weather-Los Angeles,1665
1362,Partly Cloudy-Vandalism,Vandalism,Los Angeles-Partly Cloudy,16850
1363,Partly Cloudy-Violence,Violence,Los Angeles-Partly Cloudy,29238
1364,Partly Cloudy-Auto-Theft,Auto-Theft,Los Angeles-Partly Cloudy,13925
1365,Partly Cloudy-Verbal,Verbal,Los Angeles-Partly Cloudy,16317
1366,Partly Cloudy-Other,Other,Los Angeles-Partly Cloudy,5052
1367,Partly Cloudy-Burglary,Burglary,Los Angeles-Partly Cloudy,74486
1368,Partly Cloudy-Rape,Rape,Los Angeles-Partly Cloudy,1580
1369,Partly Cloudy-Fraud,Fraud,Los Angeles-Partly Cloudy,2248
1370,Partly Cloudy-B&E,B&E,Los Angeles-Partly Cloudy,1878
1371,Partly Cloudy-Robbery,Robbery,Los Angeles-Partly Cloudy,6988
1372,Partly Cloudy-Violation,Violation,Los Angeles-Partly Cloudy,3734
1373,Partly Cloudy-VAL,VAL,Los Angeles-Partly Cloudy,116
1374,Partly Cloudy-Sexual,Sexual,Los Angeles-Partly Cloudy,608
1375,Partly Cloudy-Killing,Killing,Los Angeles-Partly Cloudy,214
1376,Partly Cloudy-Arson,Arson,Los Angeles-Partly Cloudy,273
1377,Partly Cloudy-Kidnapping,Kidnapping,Los Angeles-Partly Cloudy,285
1378,Clear-Vandalism,Vandalism,Los Angeles-Clear,60783
1379,Clear-Violence,Violence,Los Angeles-Clear,107539
1380,Clear-Auto-Theft,Auto-Theft,Los Angeles-Clear,50350
1381,Clear-Verbal,Verbal,Los Angeles-Clear,59695
1382,Clear-Other,Other,Los Angeles-Clear,18445
1383,Clear-Burglary,Burglary,Los Angeles-Clear,262399
1384,Clear-Rape,Rape,Los Angeles-Clear,6161
1385,Clear-Fraud,Fraud,Los Angeles-Clear,7810
1386,Clear-B&E,B&E,Los Angeles-Clear,7055
1387,Clear-Robbery,Robbery,Los Angeles-Clear,25318
1388,Clear-Violation,Violation,Los Angeles-Clear,13575
1389,Clear-VAL,VAL,Los Angeles-Clear,475
1390,Clear-Sexual,Sexual,Los Angeles-Clear,2252
1391,Clear-Killing,Killing,Los Angeles-Clear,818
1392,Clear-Arson,Arson,Los Angeles-Clear,1142
1393,Clear-Kidnapping,Kidnapping,Los Angeles-Clear,1000
1394,Overcast-Vandalism,Vandalism,Los Angeles-Overcast,12005
1395,Overcast-Violence,Violence,Los Angeles-Overcast,22592
1396,Overcast-Auto-Theft,Auto-Theft,Los Angeles-Overcast,9678
1397,Overcast-Verbal,Verbal,Los Angeles-Overcast,12691
1398,Overcast-Other,Other,Los Angeles-Overcast,3992
1399,Overcast-Burglary,Burglary,Los Angeles-Overcast,63874
1400,Overcast-Rape,Rape,Los Angeles-Overcast,1081
1401,Overcast-Fraud,Fraud,Los Angeles-Overcast,2346
1402,Overcast-B&E,B&E,Los Angeles-Overcast,1656
1403,Overcast-Robbery,Robbery,Los Angeles-Overcast,5039
1404,Overcast-Violation,Violation,Los Angeles-Overcast,3226
1405,Overcast-VAL,VAL,Los Angeles-Overcast,73
1406,Overcast-Sexual,Sexual,Los Angeles-Overcast,536
1407,Overcast-Killing,Killing,Los Angeles-Overcast,139
1408,Overcast-Arson,Arson,Los Angeles-Overcast,198
1409,Overcast-Kidnapping,Kidnapping,Los Angeles-Overcast,225
1410,Mostly Cloudy-Vandalism,Vandalism,Los Angeles-Mostly Cloudy,11356
1411,Mostly Cloudy-Violence,Violence,Los Angeles-Mostly Cloudy,20969
1412,Mostly Cloudy-Auto-Theft,Auto-Theft,Los Angeles-Mostly Cloudy,9483
1413,Mostly Cloudy-Verbal,Verbal,Los Angeles-Mostly Cloudy,11657
1414,Mostly Cloudy-Other,Other,Los Angeles-Mostly Cloudy,3650
1415,Mostly Cloudy-Burglary,Burglary,Los Angeles-Mostly Cloudy,55898
1416,Mostly Cloudy-Rape,Rape,Los Angeles-Mostly Cloudy,959
1417,Mostly Cloudy-Fraud,Fraud,Los Angeles-Mostly Cloudy,1775
1418,Mostly Cloudy-B&E,B&E,Los Angeles-Mostly Cloudy,1433
1419,Mostly Cloudy-Robbery,Robbery,Los Angeles-Mostly Cloudy,4656
1420,Mostly Cloudy-Violation,Violation,Los Angeles-Mostly Cloudy,2920
1421,Mostly Cloudy-VAL,VAL,Los Angeles-Mostly Cloudy,75
1422,Mostly Cloudy-Sexual,Sexual,Los Angeles-Mostly Cloudy,430
1423,Mostly Cloudy-Killing,Killing,Los Angeles-Mostly Cloudy,168
1424,Mostly Cloudy-Arson,Arson,Los Angeles-Mostly Cloudy,185
1425,Mostly Cloudy-Kidnapping,Kidnapping,Los Angeles-Mostly Cloudy,219
1426,Possible Drizzle-Vandalism,Vandalism,Los Angeles-Possible Drizzle,958
1427,Possible Drizzle-Violence,Violence,Los Angeles-Possible Drizzle,1619
1428,Possible Drizzle-Auto-Theft,Auto-Theft,Los Angeles-Possible Drizzle,916
1429,Possible Drizzle-Verbal,Verbal,Los Angeles-Possible Drizzle,973
1430,Possible Drizzle-Other,Other,Los Angeles-Possible Drizzle,255
1431,Possible Drizzle-Burglary,Burglary,Los Angeles-Possible Drizzle,4730
1432,Possible Drizzle-Rape,Rape,Los Angeles-Possible Drizzle,83
1433,Possible Drizzle-Fraud,Fraud,Los Angeles-Possible Drizzle,167
1434,Possible Drizzle-B&E,B&E,Los Angeles-Possible Drizzle,127
1435,Possible Drizzle-Robbery,Robbery,Los Angeles-Possible Drizzle,387
1436,Possible Drizzle-Violation,Violation,Los Angeles-Possible Drizzle,233
1437,Possible Drizzle-VAL,VAL,Los Angeles-Possible Drizzle,10
1438,Possible Drizzle-Sexual,Sexual,Los Angeles-Possible Drizzle,37
1439,Possible Drizzle-Killing,Killing,Los Angeles-Possible Drizzle,15
1440,Possible Drizzle-Arson,Arson,Los Angeles-Possible Drizzle,17
1441,Possible Drizzle-Kidnapping,Kidnapping,Los Angeles-Possible Drizzle,11
1442,Drizzle-Vandalism,Vandalism,Los Angeles-Drizzle,221
1443,Drizzle-Violence,Violence,Los Angeles-Drizzle,353
1444,Drizzle-Auto-Theft,Auto-Theft,Los Angeles-Drizzle,222
1445,Drizzle-Verbal,Verbal,Los Angeles-Drizzle,216
1446,Drizzle-Other,Other,Los Angeles-Drizzle,73
1447,Drizzle-Burglary,Burglary,Los Angeles-Drizzle,1025
1448,Drizzle-Rape,Rape,Los Angeles-Drizzle,11
1449,Drizzle-Fraud,Fraud,Los Angeles-Drizzle,31
1450,Drizzle-B&E,B&E,Los Angeles-Drizzle,31
1451,Drizzle-Robbery,Robbery,Los Angeles-Drizzle,76
1452,Drizzle-Violation,Violation,Los Angeles-Drizzle,33
1453,Drizzle-VAL,VAL,Los Angeles-Drizzle,1
1454,Drizzle-Sexual,Sexual,Los Angeles-Drizzle,11
1455,Drizzle-Killing,Killing,Los Angeles-Drizzle,3
1456,Drizzle-Arson,,Los Angeles-Drizzle,0
1457,Drizzle-Kidnapping,Kidnapping,Los Angeles-Drizzle,3
1458,Rain-Vandalism,Vandalism,Los Angeles-Rain,194
1459,Rain-Violence,Violence,Los Angeles-Rain,313
1460,Rain-Auto-Theft,Auto-Theft,Los Angeles-Rain,202
1461,Rain-Verbal,Verbal,Los Angeles-Rain,163
1462,Rain-Other,Other,Los Angeles-Rain,54
1463,Rain-Burglary,Burglary,Los Angeles-Rain,1104
1464,Rain-Rape,Rape,Los Angeles-Rain,20
1465,Rain-Fraud,Fraud,Los Angeles-Rain,22
1466,Rain-B&E,B&E,Los Angeles-Rain,24
1467,Rain-Robbery,Robbery,Los Angeles-Rain,81
1468,Rain-Violation,Violation,Los Angeles-Rain,57
1469,Rain-VAL,VAL,Los Angeles-Rain,4
1470,Rain-Sexual,Sexual,Los Angeles-Rain,5
1471,Rain-Killing,Killing,Los Angeles-Rain,2
1472,Rain-Arson,Arson,Los Angeles-Rain,2
1473,Rain-Kidnapping,Kidnapping,Los Angeles-Rain,3
1474,Light Rain-Vandalism,Vandalism,Los Angeles-Light Rain,779
1475,Light Rain-Violence,Violence,Los Angeles-Light Rain,1226
1476,Light Rain-Auto-Theft,Auto-Theft,Los Angeles-Light Rain,721
1477,Light Rain-Verbal,Verbal,Los Angeles-Light Rain,767
1478,Light Rain-Other,Other,Los Angeles-Light Rain,234
1479,Light Rain-Burglary,Burglary,Los Angeles-Light Rain,3862
1480,Light Rain-Rape,Rape,Los Angeles-Light Rain,85
1481,Light Rain-Fraud,Fraud,Los Angeles-Light Rain,125
1482,Light Rain-B&E,B&E,Los Angeles-Light Rain,98
1483,Light Rain-Robbery,Robbery,Los Angeles-Light Rain,321
1484,Light Rain-Violation,Violation,Los Angeles-Light Rain,180
1485,Light Rain-VAL,VAL,Los Angeles-Light Rain,6
1486,Light Rain-Sexual,Sexual,Los Angeles-Light Rain,23
1487,Light Rain-Killing,Killing,Los Angeles-Light Rain,11
1488,Light Rain-Arson,Arson,Los Angeles-Light Rain,8
1489,Light Rain-Kidnapping,Kidnapping,Los Angeles-Light Rain,12
1490,Possible Light Rain-Vandalism,Vandalism,Los Angeles-Possible Light Rain,132
1491,Possible Light Rain-Violence,Violence,Los Angeles-Possible Light Rain,226
1492,Possible Light Rain-Auto-Theft,Auto-Theft,Los Angeles-Possible Light Rain,108
1493,Possible Light Rain-Verbal,Verbal,Los Angeles-Possible Light Rain,130
1494,Possible Light Rain-Other,Other,Los Angeles-Possible Light Rain,18
1495,Possible Light Rain-Burglary,Burglary,Los Angeles-Possible Light Rain,656
1496,Possible Light Rain-Rape,Rape,Los Angeles-Possible Light Rain,15
1497,Possible Light Rain-Fraud,Fraud,Los Angeles-Possible Light Rain,23
1498,Possible Light Rain-B&E,B&E,Los Angeles-Possible Light Rain,12
1499,Possible Light Rain-Robbery,Robbery,Los Angeles-Possible Light Rain,42
1500,Possible Light Rain-Violation,Violation,Los Angeles-Possible Light Rain,33
1501,Possible Light Rain-VAL,VAL,Los Angeles-Possible Light Rain,1
1502,Possible Light Rain-Sexual,Sexual,Los Angeles-Possible Light Rain,1
1503,Possible Light Rain-Killing,Killing,Los Angeles-Possible Light Rain,3
1504,Possible Light Rain-Arson,Arson,Los Angeles-Possible Light Rain,1
1505,Possible Light Rain-Kidnapping,,Los Angeles-Possible Light Rain,0
1506,Foggy-Vandalism,Vandalism,Los Angeles-Foggy,132
1507,Foggy-Violence,Violence,Los Angeles-Foggy,273
1508,Foggy-Auto-Theft,Auto-Theft,Los Angeles-Foggy,89
1509,Foggy-Verbal,Verbal,Los Angeles-Foggy,164
1510,Foggy-Other,Other,Los Angeles-Foggy,46
1511,Foggy-Burglary,Burglary,Los Angeles-Foggy,791
1512,Foggy-Rape,Rape,Los Angeles-Foggy,7
1513,Foggy-Fraud,Fraud,Los Angeles-Foggy,37
1514,Foggy-B&E,B&E,Los Angeles-Foggy,14
1515,Foggy-Robbery,Robbery,Los Angeles-Foggy,61
1516,Foggy-Violation,Violation,Los Angeles-Foggy,33
1517,Foggy-VAL,VAL,Los Angeles-Foggy,2
1518,Foggy-Sexual,Sexual,Los Angeles-Foggy,10
1519,Foggy-Killing,Killing,Los Angeles-Foggy,1
1520,Foggy-Arson,Arson,Los Angeles-Foggy,2
1521,Foggy-Kidnapping,Kidnapping,Los Angeles-Foggy,3
